UMP-45 | Caramel (Factory New)|Consumer Grade|1|UMP-45|0.11|0.28|98.00
UMP-45 | Gunsmoke (Factory New)|Industrial Grade|143|UMP-45|0.09|0.19|132.00
Souvenir UMP-45 | Gunsmoke (Factory New)|Industrial Grade|143|UMP-45|0.09|0.19|132.00
Nova | Sand Dune (Factory New)|Consumer Grade|145|Nova|0.12|0.26|185.00
Souvenir Nova | Sand Dune (Factory New)|Consumer Grade|145|Nova|0.12|0.26|185.00
Glock-18 | Candy Apple (Factory New)|Mil-Spec|146|Glock-18|0.00|0.70|189.00
Souvenir Glock-18 | Candy Apple (Factory New)|Mil-Spec|146|Glock-18|0.00|0.70|189.00
P2000 | Granite Marbleized (Factory New)|Industrial Grade|147|P2000|0.14|0.15|133.00
Souvenir P2000 | Granite Marbleized (Factory New)|Industrial Grade|147|P2000|0.14|0.15|133.00
Dual Berettas | Stained (Factory New)|Industrial Grade|148|Dual Berettas|0.17|0.01|70.00
Souvenir Dual Berettas | Stained (Factory New)|Industrial Grade|148|Dual Berettas|0.17|0.01|70.00
MP7 | Anodized Navy (Factory New)|Mil-Spec|149|MP7|0.58|0.23|62.00
Souvenir MP7 | Anodized Navy (Factory New)|Mil-Spec|149|MP7|0.58|0.23|62.00
PP-Bizon | Sand Dashed (Factory New)|Consumer Grade|150|PP-Bizon|0.11|0.36|104.00
Souvenir PP-Bizon | Sand Dashed (Factory New)|Consumer Grade|150|PP-Bizon|0.11|0.36|104.00
Nova | Candy Apple (Factory New)|Industrial Grade|151|Nova|0.01|0.45|124.00
Souvenir Nova | Candy Apple (Factory New)|Industrial Grade|151|Nova|0.01|0.45|124.00
P250 | Boreal Forest (Factory New)|Consumer Grade|152|P250|0.18|0.28|94.00
Souvenir P250 | Boreal Forest (Factory New)|Consumer Grade|152|P250|0.18|0.28|94.00
USP-S | Night Ops (Factory New)|Mil-Spec|153|USP-S|0.39|0.04|83.00
Souvenir USP-S | Night Ops (Factory New)|Mil-Spec|153|USP-S|0.39|0.04|83.00
Desert Eagle | Mudder (Factory New)|Industrial Grade|154|Desert Eagle|0.11|0.40|103.00
Souvenir Desert Eagle | Mudder (Factory New)|Industrial Grade|154|Desert Eagle|0.11|0.40|103.00
XM1014 | Blue Spruce (Factory New)|Consumer Grade|155|XM1014|0.41|0.19|135.00
Souvenir XM1014 | Blue Spruce (Factory New)|Consumer Grade|155|XM1014|0.41|0.19|135.00
AUG | Storm (Factory New)|Consumer Grade|156|AUG|0.20|0.06|80.00
Souvenir AUG | Storm (Factory New)|Consumer Grade|156|AUG|0.20|0.06|80.00
AWP | Safari Mesh (Factory New)|Industrial Grade|157|AWP|0.14|0.16|81.00
Souvenir AWP | Safari Mesh (Factory New)|Industrial Grade|157|AWP|0.14|0.16|81.00
Dual Berettas | Cobalt Quartz (Factory New)|Restricted|158|Dual Berettas|0.58|0.40|78.00
Souvenir Dual Berettas | Cobalt Quartz (Factory New)|Restricted|158|Dual Berettas|0.58|0.40|78.00
Galil AR | Sage Spray (Factory New)|Consumer Grade|159|Galil AR|0.13|0.19|150.00
Souvenir Galil AR | Sage Spray (Factory New)|Consumer Grade|159|Galil AR|0.13|0.19|150.00
PP-Bizon | Night Ops (Factory New)|Industrial Grade|160|PP-Bizon|0.54|0.05|78.00
Souvenir PP-Bizon | Night Ops (Factory New)|Industrial Grade|160|PP-Bizon|0.54|0.05|78.00
P90 | Teardown (Factory New)|Mil-Spec|161|P90|0.70|0.21|70.00
Souvenir P90 | Teardown (Factory New)|Mil-Spec|161|P90|0.70|0.21|70.00
SG 553 | Waves Perforated (Factory New)|Consumer Grade|162|SG 553|0.57|0.21|95.00
Souvenir SG 553 | Waves Perforated (Factory New)|Consumer Grade|162|SG 553|0.57|0.21|95.00
G3SG1 | Jungle Dashed (Factory New)|Consumer Grade|163|G3SG1|0.20|0.21|71.00
Souvenir G3SG1 | Jungle Dashed (Factory New)|Consumer Grade|163|G3SG1|0.20|0.21|71.00
FAMAS | Cyanospatter (Factory New)|Industrial Grade|164|FAMAS|0.52|0.20|108.00
Souvenir FAMAS | Cyanospatter (Factory New)|Industrial Grade|164|FAMAS|0.52|0.20|108.00
XM1014 | Blue Steel (Factory New)|Industrial Grade|165|XM1014|0.58|0.07|57.00
Souvenir XM1014 | Blue Steel (Factory New)|Industrial Grade|165|XM1014|0.58|0.07|57.00
SG 553 | Anodized Navy (Factory New)|Mil-Spec|166|SG 553|0.58|0.17|60.00
Souvenir SG 553 | Anodized Navy (Factory New)|Mil-Spec|166|SG 553|0.58|0.17|60.00
P250 | Bone Mask (Factory New)|Consumer Grade|167|P250|0.15|0.21|116.00
Souvenir P250 | Bone Mask (Factory New)|Consumer Grade|167|P250|0.15|0.21|116.00
Negev | CaliCamo (Factory New)|Industrial Grade|168|Negev|0.09|0.36|97.00
Souvenir Negev | CaliCamo (Factory New)|Industrial Grade|168|Negev|0.09|0.36|97.00
Five-SeveN | Contractor (Factory New)|Consumer Grade|169|Five-SeveN|0.14|0.20|115.00
Souvenir Five-SeveN | Contractor (Factory New)|Consumer Grade|169|Five-SeveN|0.14|0.20|115.00
AUG | Colony (Factory New)|Consumer Grade|170|AUG|0.15|0.14|87.00
Souvenir AUG | Colony (Factory New)|Consumer Grade|170|AUG|0.15|0.14|87.00
MAG-7 | Bulldozer (Factory New)|Restricted|171|MAG-7|0.15|0.62|179.00
Souvenir MAG-7 | Bulldozer (Factory New)|Restricted|171|MAG-7|0.15|0.62|179.00
MAC-10 | Amber Fade (Factory New)|Mil-Spec|172|MAC-10|0.08|0.44|81.00
Souvenir MAC-10 | Amber Fade (Factory New)|Mil-Spec|172|MAC-10|0.08|0.44|81.00
G3SG1 | Safari Mesh (Factory New)|Consumer Grade|173|G3SG1|0.14|0.26|90.00
Souvenir G3SG1 | Safari Mesh (Factory New)|Consumer Grade|173|G3SG1|0.14|0.26|90.00
SSG 08 | Tropical Storm (Factory New)|Industrial Grade|174|SSG 08|0.52|0.10|78.00
Souvenir SSG 08 | Tropical Storm (Factory New)|Industrial Grade|174|SSG 08|0.52|0.10|78.00
P90 | Scorched (Factory New)|Consumer Grade|175|P90|0.10|0.12|56.00
Souvenir P90 | Scorched (Factory New)|Consumer Grade|175|P90|0.10|0.12|56.00
SG 553 | Gator Mesh (Factory New)|Industrial Grade|176|SG 553|0.18|0.46|78.00
Souvenir SG 553 | Gator Mesh (Factory New)|Industrial Grade|176|SG 553|0.18|0.46|78.00
Galil AR | Hunting Blind (Factory New)|Consumer Grade|177|Galil AR|0.10|0.46|96.00
Souvenir Galil AR | Hunting Blind (Factory New)|Consumer Grade|177|Galil AR|0.10|0.46|96.00
Glock-18 | Groundwater (Factory New)|Industrial Grade|178|Glock-18|0.24|0.24|170.00
Souvenir Glock-18 | Groundwater (Factory New)|Industrial Grade|178|Glock-18|0.24|0.24|170.00
UMP-45 | Blaze (Factory New)|Mil-Spec|179|UMP-45|0.07|0.55|78.00
Souvenir UMP-45 | Blaze (Factory New)|Mil-Spec|179|UMP-45|0.07|0.55|78.00
MP7 | Orange Peel (Factory New)|Industrial Grade|180|MP7|0.06|0.59|138.00
Souvenir MP7 | Orange Peel (Factory New)|Industrial Grade|180|MP7|0.06|0.59|138.00
MP9 | Hot Rod (Factory New)|Mil-Spec|181|MP9|0.00|0.70|57.00
Souvenir MP9 | Hot Rod (Factory New)|Mil-Spec|181|MP9|0.00|0.70|57.00
Dual Berettas | Contractor (Factory New)|Consumer Grade|182|Dual Berettas|0.25|0.14|85.00
Souvenir Dual Berettas | Contractor (Factory New)|Consumer Grade|182|Dual Berettas|0.25|0.14|85.00
SCAR-20 | Contractor (Factory New)|Consumer Grade|183|SCAR-20|0.14|0.16|82.00
Souvenir SCAR-20 | Contractor (Factory New)|Consumer Grade|183|SCAR-20|0.14|0.16|82.00
G3SG1 | VariCamo (Factory New)|Industrial Grade|184|G3SG1|0.12|0.18|83.00
Souvenir G3SG1 | VariCamo (Factory New)|Industrial Grade|184|G3SG1|0.12|0.18|83.00
SSG 08 | Blue Spruce (Factory New)|Consumer Grade|185|SSG 08|0.39|0.15|95.00
Souvenir SSG 08 | Blue Spruce (Factory New)|Consumer Grade|185|SSG 08|0.39|0.15|95.00
SSG 08 | Acid Fade (Factory New)|Mil-Spec|186|SSG 08|0.19|0.19|62.00
Souvenir SSG 08 | Acid Fade (Factory New)|Mil-Spec|186|SSG 08|0.19|0.19|62.00
M249 | Gator Mesh (Factory New)|Industrial Grade|187|M249|0.17|0.43|90.00
Souvenir M249 | Gator Mesh (Factory New)|Industrial Grade|187|M249|0.17|0.43|90.00
Galil AR | VariCamo (Factory New)|Industrial Grade|188|Galil AR|0.11|0.25|124.00
Souvenir Galil AR | VariCamo (Factory New)|Industrial Grade|188|Galil AR|0.11|0.25|124.00
M4A1-S | Nitro (Factory New)|Restricted|189|M4A1-S|0.07|0.22|114.00
Souvenir M4A1-S | Nitro (Factory New)|Restricted|189|M4A1-S|0.07|0.22|114.00
Tec-9 | Army Mesh (Factory New)|Consumer Grade|190|Tec-9|0.13|0.26|72.00
Souvenir Tec-9 | Army Mesh (Factory New)|Consumer Grade|190|Tec-9|0.13|0.26|72.00
Five-SeveN | Silver Quartz (Factory New)|Mil-Spec|191|Five-SeveN|0.25|0.03|65.00
Souvenir Five-SeveN | Silver Quartz (Factory New)|Mil-Spec|191|Five-SeveN|0.25|0.03|65.00
MP7 | Army Recon (Factory New)|Consumer Grade|192|MP7|0.10|0.40|100.00
Souvenir MP7 | Army Recon (Factory New)|Consumer Grade|192|MP7|0.10|0.40|100.00
USP-S | Forest Leaves (Factory New)|Industrial Grade|193|USP-S|0.17|0.38|73.00
Souvenir USP-S | Forest Leaves (Factory New)|Industrial Grade|193|USP-S|0.17|0.38|73.00
AUG | Condemned (Factory New)|Industrial Grade|194|AUG|0.09|0.16|81.00
Souvenir AUG | Condemned (Factory New)|Industrial Grade|194|AUG|0.09|0.16|81.00
FAMAS | Teardown (Factory New)|Mil-Spec|195|FAMAS|0.70|0.30|74.00
Souvenir FAMAS | Teardown (Factory New)|Mil-Spec|195|FAMAS|0.70|0.30|74.00
MP9 | Orange Peel (Factory New)|Industrial Grade|196|MP9|0.06|0.60|128.00
Souvenir MP9 | Orange Peel (Factory New)|Industrial Grade|196|MP9|0.06|0.60|128.00
UMP-45 | Urban DDPAT (Factory New)|Consumer Grade|197|UMP-45|0.12|0.10|112.00
Souvenir UMP-45 | Urban DDPAT (Factory New)|Consumer Grade|197|UMP-45|0.12|0.10|112.00
P250 | Metallic DDPAT (Factory New)|Industrial Grade|198|P250|0.33|0.02|52.00
Souvenir P250 | Metallic DDPAT (Factory New)|Industrial Grade|198|P250|0.33|0.02|52.00
Dual Berettas | Colony (Factory New)|Consumer Grade|199|Dual Berettas|0.14|0.28|127.00
Souvenir Dual Berettas | Colony (Factory New)|Consumer Grade|199|Dual Berettas|0.14|0.28|127.00
G3SG1 | Polar Camo (Factory New)|Consumer Grade|200|G3SG1|0.14|0.07|94.00
Souvenir G3SG1 | Polar Camo (Factory New)|Consumer Grade|200|G3SG1|0.14|0.07|94.00
Desert Eagle | Urban Rubble (Factory New)|Mil-Spec|201|Desert Eagle|0.12|0.04|90.00
Souvenir Desert Eagle | Urban Rubble (Factory New)|Mil-Spec|201|Desert Eagle|0.12|0.04|90.00
Tec-9 | Red Quartz (Factory New)|Restricted|202|Tec-9|0.07|0.41|56.00
